id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
73885,1999.pkl,undergraduate,M,SC,PDT,Sul,dentist/medic,,40-50
73886,1999.pkl,no education,M,RS,PT,Sul,other,,50-60
73888,1999.pkl,undergraduate,M,RS,PDT,Sul,engineer/architect,,40-50
73889,1999.pkl,other,M,RS,PPB,Sul,other,,40-50
73891,1999.pkl,other,M,RS,PMDB,Sul,other,BRANCA,50-60
73893,1999.pkl,undergraduate,M,RS,PDT,Sul,judge/lawyer/prosecutor,BRANCA,30-40
73894,1999.pkl,other,F,RS,PT,Sul,other,,60-70
73895,1999.pkl,other,M,RS,PSB,Sul,other,,50-60
73896,1999.pkl,undergraduate,M,RS,PPB,Sul,veterinarian/agronomist,,40-50
73897,1999.pkl,undergraduate,M,RS,PMDB,Sul,other,,40-50
73900,1999.pkl,other,M,RS,PPB,Sul,other,,50-60
73902,1999.pkl,undergraduate,M,RS,PT,Sul,other,,30-40
73904,1999.pkl,undergraduate,M,RS,PMDB,Sul,other,,40-50
73906,1999.pkl,other,M,RS,PSDB,Sul,other,,50-60
73907,1999.pkl,undergraduate,M,RS,PMDB,Sul,other,,40-50
73909,1999.pkl,other,M,RS,PTB,Sul,other,,60-70
73910,1999.pkl,high school,M,RS,PT,Sul,other,,40-50
73912,1999.pkl,other,M,PI,PT,Nordeste,other,,40-50
73913,1999.pkl,other,M,PI,PPB,Nordeste,other,,40-50
73914,1999.pkl,high school,M,BA,PT,Nordeste,other,,30-40
73915,1999.pkl,other,M,RN,PL*,Nordeste,other,,50-60
73916,1999.pkl,undergraduate,M,SC,PMDB,Sul,judge/lawyer/prosecutor,,30-40
73917,1999.pkl,undergraduate,M,RS,PMDB,Sul,broker/economist/banker,,40-50
73918,1999.pkl,undergraduate,M,BA,PCdoB,Nordeste,other,,40-50
73919,1999.pkl,undergraduate,M,MG,PDT,Sudeste,other,,60-70
73979,1999.pkl,other,M,RR,PMDB,Norte,other,,50-60
73980,1999.pkl,other,M,RR,PFL,Norte,other,,50-60
73981,1999.pkl,other,M,RR,PTB,Norte,other,,40-50
73982,1999.pkl,undergraduate,M,RR,PSDB,Norte,broker/economist/banker,BRANCA,40-50
73983,1999.pkl,other,M,RR,PFL,Norte,other,,40-50
73984,1999.pkl,undergraduate,M,RR,PL*,Norte,other,,40-50
73985,1999.pkl,other,M,RR,PL*,Norte,other,,40-50
73986,1999.pkl,other,M,RR,PFL,Norte,other,,40-50
73987,1999.pkl,undergraduate,M,AP,PSDB,Norte,geologist,,40-50
73989,1999.pkl,other,M,RS,PPB,Sul,other,,50-60
73990,1999.pkl,undergraduate,M,RS,PT,Sul,judge/lawyer/prosecutor,,40-50
73991,1999.pkl,high school,M,RS,PMDB,Sul,other,,50-60
73992,1999.pkl,undergraduate,F,RS,PSDB,Sul,other,BRANCA,50-60
73993,1999.pkl,other,M,SP,PSDB,Sudeste,other,,50-60
73994,1999.pkl,undergraduate,M,RS,PPB,Sul,other,,40-50
73996,1999.pkl,other,M,RS,PSDB,Sul,other,,60-70
74000,1999.pkl,high school,M,PR,PTB,Sul,accountant,,40-50
74001,1999.pkl,undergraduate,M,BA,PFL,Nordeste,other,,40-50
74005,1999.pkl,undergraduate,M,AL,PMDB,Nordeste,other,,40-50
74014,1999.pkl,undergraduate,F,RJ,PSB,Sudeste,dentist/medic,,40-50
74017,1999.pkl,undergraduate,M,RJ,PSDB,Sudeste,engineer/architect,BRANCA,40-50
74018,1999.pkl,other,M,MA,PMDB,Nordeste,other,,40-50
74021,1999.pkl,undergraduate,F,GO,PMDB,Centro-Oeste,other,,40-50
74023,1999.pkl,undergraduate,M,PB,PMDB,Nordeste,other,,40-50
74024,1999.pkl,other,M,RJ,PSDB,Sudeste,other,,50-60
74065,1999.pkl,other,F,AP,PSDB,Norte,other,BRANCA,30-40
74069,1999.pkl,other,M,AP,PFL,Norte,other,,50-60
74072,1999.pkl,other,M,PA,PSDB,Norte,other,,50-60
74075,1999.pkl,other,F,PA,PMDB,Norte,other,BRANCA,50-60
74076,1999.pkl,other,M,PA,PPB,Norte,other,PARDA,60-70
74077,1999.pkl,other,M,PA,PDT,Norte,other,BRANCA,50-60
74079,1999.pkl,undergraduate,M,PA,PMDB,Norte,judge/lawyer/prosecutor,BRANCA,30-40
74080,1999.pkl,other,M,PA,PSDB,Norte,other,PARDA,40-50
74082,1999.pkl,other,M,PA,PT,Norte,other,,40-50
74084,1999.pkl,other,M,PA,PFL,Norte,other,PARDA,40-50
74085,1999.pkl,high school,F,PA,PCdoB,Norte,other,,40-50
74087,1999.pkl,other,M,PA,PFL,Norte,other,,30-40
74089,1999.pkl,undergraduate,M,AM,PSDB,Norte,other,,50-60
