id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
74191,51.pkl,other,M,TO,PPB,Norte,other,BRANCA,60-70
74192,51.pkl,other,M,TO,PSDB,Norte,other,,40-50
74193,51.pkl,undergraduate,M,TO,PMDB,Norte,public servant,,30-40
74194,51.pkl,other,M,MA,PPB,Nordeste,other,,50-60
74195,51.pkl,other,M,MA,PFL,Nordeste,other,,50-60
74198,51.pkl,other,M,MA,others,Nordeste,other,,40-50
74199,51.pkl,other,M,MA,PFL,Nordeste,other,,40-50
74200,51.pkl,other,M,MA,PMDB,Nordeste,other,PARDA,50-60
74206,51.pkl,other,M,MA,PFL,Nordeste,other,,50-60
74207,51.pkl,other,M,MA,PMDB,Nordeste,other,BRANCA,60-70
74208,51.pkl,other,M,MA,others,Nordeste,other,,50-60
74209,51.pkl,undergraduate,M,MA,PSDB,Nordeste,other,,30-40
74210,51.pkl,undergraduate,M,MA,PFL,Nordeste,other,BRANCA,40-50
74211,51.pkl,other,M,MA,PSDB,Nordeste,other,,40-50
74212,51.pkl,other,M,CE,PSDB,Nordeste,other,PARDA,40-50
74216,51.pkl,other,M,CE,PSDB,Nordeste,other,BRANCA,40-50
74217,51.pkl,undergraduate,M,RS,PTB,Sul,other,,40-50
74221,51.pkl,high school,M,RJ,PSDB,Sudeste,other,,50-60
74222,51.pkl,other,M,PA,PMDB,Norte,other,,50-60
74225,51.pkl,undergraduate,M,MA,PDT,Nordeste,other,,80-90
74233,51.pkl,undergraduate,M,SC,PT,Sul,other,,30-40
74235,51.pkl,undergraduate,M,ES,PSDB,Sudeste,others,BRANCA,40-50
74237,51.pkl,high school,M,SC,PFL,Sul,other,,40-50
74238,51.pkl,other,M,PR,PMDB,Sul,other,,50-60
74240,51.pkl,other,M,AC,PPB,Norte,other,,50-60
74243,51.pkl,undergraduate,M,RS,PMDB,Sul,judge/lawyer/prosecutor,,30-40
74248,51.pkl,high school,F,RN,PMDB,Nordeste,other,,40-50
74291,51.pkl,undergraduate,M,CE,PSDB,Nordeste,other,BRANCA,40-50
74295,51.pkl,other,M,CE,PCdoB,Nordeste,other,PARDA,40-50
74297,51.pkl,other,M,CE,PPB,Nordeste,other,,60-70
74298,51.pkl,other,M,CE,PT,Nordeste,other,,40-50
74300,51.pkl,undergraduate,M,CE,PMDB,Nordeste,engineer/architect,,40-50
74301,51.pkl,other,M,CE,PSDB,Nordeste,other,,50-60
74303,51.pkl,undergraduate,M,CE,PPS,Nordeste,dentist/medic,,40-50
74304,51.pkl,other,M,CE,PMDB,Nordeste,other,,50-60
74305,51.pkl,other,M,CE,PFL,Nordeste,other,PARDA,50-60
74306,51.pkl,undergraduate,M,CE,PSDB,Nordeste,dentist/medic,,40-50
74307,51.pkl,other,M,CE,PSDB,Nordeste,other,,50-60
74308,51.pkl,other,M,CE,PSDB,Nordeste,other,BRANCA,60-70
74312,51.pkl,undergraduate,M,PI,PSDB,Nordeste,dentist/medic,,50-60
74313,51.pkl,undergraduate,M,PI,PFL,Nordeste,other,,0-30
74316,51.pkl,other,M,PI,PMDB,Nordeste,other,,40-50
74319,51.pkl,other,M,PI,PFL,Nordeste,other,BRANCA,60-70
74321,51.pkl,other,M,RN,PFL,Nordeste,other,BRANCA,40-50
74324,51.pkl,undergraduate,M,RN,PMDB,Nordeste,other,BRANCA,40-50
74325,51.pkl,other,M,RN,PPB,Nordeste,other,,50-60
74326,51.pkl,other,M,RN,PMDB,Nordeste,other,,50-60
74327,51.pkl,other,M,RN,PFL,Nordeste,other,,50-60
74328,51.pkl,other,M,PB,PFL,Nordeste,other,,60-70
74329,51.pkl,undergraduate,M,MG,PFL,Sudeste,other,,30-40
74333,51.pkl,undergraduate,M,PR,PTB,Sul,dentist/medic,,50-60
74337,51.pkl,other,M,BA,PFL,Nordeste,other,PARDA,40-50
74339,51.pkl,other,M,RJ,PT,Sudeste,other,,50-60
74340,51.pkl,high school,M,RR,PPS,Norte,other,BRANCA,30-40
74341,51.pkl,undergraduate,M,RR,PPB,Norte,other,PARDA,40-50
74342,51.pkl,undergraduate,M,AP,PSDB,Norte,others,,30-40
74343,51.pkl,other,M,AP,PFL,Norte,other,,40-50
74344,51.pkl,other,M,AP,PTB,Norte,other,BRANCA,40-50
74345,51.pkl,undergraduate,M,AP,PSB,Norte,others,PRETA,30-40
